myneta_id,name,constituency,district,party,age,education,criminal_cases,criminal_details,movable_self,movable_spouse,movable_dependents,movable_total,immovable_self,immovable_spouse,immovable_dependents,immovable_total,total_assets,liabilities,affidavit_url
105,Thangamani.P,KUMARAPALAYAM,NAMAKKAL,AIADMK,60,10th Pass,0,,7789742,3313514,0,11103256,7578000,0,0,7578000,18681256,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=105
106,"Anbalagan, G.",KUMBAKONAM,THANJAVUR,DMK,72,10th Pass,6,"143, 188, 341; 143, 188; 143, 188, 269, 270; 143, 269, 270, 341; 143, 269, 270; 143, 269, 270, 188",81256462,4144209,0,85400671,202500000,135286000,0,337786000,423186671,102995783,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=106
107,"Ramachandran, R.T.",KUNNAM,PERAMBALUR,AIADMK,47,8th Pass,0,,16380782,3730755,1423090,21534627,21572025,1475000,4800000,27847025,49381652,15675878,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=107
108,Sankarapandi P,MADURAI NORTH,MADURAI,IND,35,5th Pass,0,,92000,0,0,92000,1000000,0,0,1000000,1092000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=108
110,Raju. K,MADURAI WEST,MADURAI,AIADMK,68,Graduate,1,,4290091,27227983,0,31518074,1363000,32608630,0,33971630,65489704,19774424,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=110
111,Vetrikumaran. C,MADURAI WEST,MADURAI,Naam Tamilar Katchi,46,Graduate Professional,1,"147, 148, 397, 294b, 506(ii)",1761033,732800,0,2493833,19180000,0,0,19180000,21673833,4926414,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=111
112,Sumitha. P,MADURANTAKAM (SC),CHENGALPATTU,Naam Tamilar Katchi,30,8th Pass,0,,95000,172000,0,267000,0,0,0,0,267000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=112
114,Kanimozhi.P,MANAPPARAI,TIRUCHIRAPPALLI,Naam Tamilar Katchi,31,Post Graduate,0,,62000,92000,50000,204000,0,0,0,0,204000,159000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=114
115,Rajaa T R B,MANNARGUDI,THIRUVARUR,DMK,44,Post Graduate,2,"341, 269, 270; 143",81533812,119861832,8796911,210192555,6000000,196221328,5746253,207967581,418160136,134876928,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=115
116,M Rajendran,MAYILADUTHURAI,NAGAPATTINAM,IND,58,10th Pass,0,,38000,91000,0,129000,0,0,0,0,129000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=116
117,K Kasiraman,MAYILADUTHURAI,NAGAPATTINAM,Naam Tamilar Katchi,47,12th Pass,0,,11715327,1125000,0,12840327,0,0,0,0,12840327,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=117
118,Selvaraj A K,METTUPALAYAM,COIMBATORE,AIADMK,62,Graduate,0,,1030988,0,0,1030988,9440000,0,0,9440000,10470988,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=118
119,Mayilsamy.P,MODAKKURICHI,ERODE,IND,42,8th Pass,0,,75000,250000,0,325000,0,0,0,0,325000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=119
120,R.Rahmadnisha,MUDUKULATHUR,RAMANATHAPURAM,Naam Tamilar Katchi,37,Literate,0,,1085000,10000,0,1095000,1200000,0,0,1200000,2295000,655040,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=120
121,Karthikeyan. J,VRIDHACHALAM,CUDDALORE,Pattali Makkal Katchi,35,Post Graduate,0,,2159879,1087750,259168,3506797,1217929,0,6094662,7312591,10819388,3520000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=121
122,Ramadoss S,VRIDHACHALAM,CUDDALORE,IND,60,Graduate,0,,380000,0,0,380000,0,2000000,0,2000000,2380000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=122
123,R.Mayilsamy,VIRUGAMPAKKAM,CHENNAI,IND,56,5th Pass,0,,3903157,14000,0,3917157,27000000,0,0,27000000,30917157,6700000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=123
124,T.S.Rajendran,VIRUGAMPAKKAM,CHENNAI,Naam Tamilar Katchi,57,12th Pass,0,,147000,793500,0,940500,300000,2500000,0,2800000,3740500,250000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=124
126,Palaniappan,VIRALIMALAI,PUDUKKOTTAI,DMK,54,Graduate Professional,12,"143, 188; 143, 188; 143, 188; 143, 188, 341, 353; 143, 269, 270, 283; 143, 269, 270, 283; 143, 188, 341; 143, 188; 124A, 153, 294B, 504, 505(1)C; 143, 188; 294b, 307, 323; 143,188",30534483,4727014,1041403,36302900,33100000,14500000,7300000,54900000,91202900,13422808,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=126
127,Karuppasamy K,VILATHIKULAM,THOOTHUKUDI,Naam Indiar Party,61,8th Pass,0,,418000,902000,0,1320000,2300000,0,0,2300000,3620000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=127
128,Balaji R,VILATHIKULAM,THOOTHUKUDI,Naam Tamilar Katchi,30,Post Graduate,0,,645566,0,213000,858566,0,0,2000000,2000000,2858566,354000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=128
129,K.P.Munusamy,VEPPANAHALLI,KRISHNAGIRI,AIADMK,68,Graduate Professional,0,,7034820,11100753,2499150,20634723,81800000,21105000,0,102905000,123539723,4257626,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=129
130,P.Murugan,VEPPANAHALLI,KRISHNAGIRI,DMK,51,12th Pass,0,,6430973,6911376,2570275,15912624,26349536,17200000,0,43549536,59462160,6440316,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=130
131,Appu S.R.K,VELLORE,VELLORE,AIADMK,43,Graduate,0,,2454158,3318204,23786,5796148,30045000,2500000,0,32545000,38341148,6418309,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=131
